raw_name,canonical_name,status,confidence,notes
Eastbourne Sovereign SC,,pending,,
ISC,,pending,,
Emsworth SC,,pending,,
Llandegfedd SC,,pending,,
Burghfield SC,,pending,,
Broadstairs SC,,pending,,
Portchester SC,,pending,,
Papercourt SC2,,pending,,
Sully SC,,pending,,
Orford,,pending,,
Weybread sailing club,,pending,,
.,,pending,,
Littleton SC,,pending,,
FPSC,,pending,,
DQSC,,pending,,
Frensham Pond SC,,pending,,
MNSC,,pending,,
Maidenhead SC,,pending,,
West Wittering SC,,pending,,
Pagham YC,,pending,,
Howth YC,,pending,,
RNCYC,,pending,,
Cove SC,,pending,,
RUYC,,pending,,
Waterford Harbour SC,,pending,,
Flushing SC,,pending,,
Quoile YC,,pending,,
RStGYC,,pending,,
Baltimore SC,,pending,,
Royal Ulster YC,,pending,,
RStG YC,,pending,,
Helensburgh SC,,pending,,
Royal Cornwall YC,,pending,,
Skerries SC,,pending,,
Neyland YC,,pending,,
St Mawes,,pending,,
Toward Seasports C,,pending,,
Nassau Yacht Club,,pending,,
KNS,,pending,,
Greig City Academy,,pending,,
RSnYC,,pending,,
Team Absolute,,pending,,
Northbridge Sailing Club,,pending,,
RLYC,,pending,,
Royal London Yacht club,,pending,,
WVBreskens - RORC,,pending,,
Royal Gourock Yacht Club,,pending,,
Courtown Sailing Club,,pending,,
PC Yacht Club,,pending,,
Marchwood YC,,pending,,
SPORT NAUTIQUE CLUB,,pending,,
ROYAL ARMOURED CORPS YACHT CLUB,,pending,,
ROYAL ENGINEER YACHT CLUB,,pending,,
Isle Of Man Yacht Club,,pending,,
Ullswater Yacht Club,,pending,,
Tynemouth Sailing Club,,pending,,
Royal Windermere Yacht Club,,pending,,
Nantwich Sailing Club,,pending,,
Castle Cove Sailing Club,,pending,,
Lowton Sailing Club,,pending,,
Carsington Sailing Club,,pending,,
West Riding Sailing Club,,pending,,
Tewkesbury Sailing Club,,pending,,
Beaver Sailing Club,,pending,,
Largs Sailing Club,,pending,,
Downs Sailing Club,,pending,,
South Windermere Sailing Club,,pending,,
Rutland Sailing Club,,pending,,
South Cerney Sailing Club,,pending,,
Dalgety Bay Sailing Club,,pending,,
South Staffordshire Sailing Club,,pending,,
South Shields,,pending,,
Looe Sailing Club,,pending,,
Up River Yacht Club,,pending,,
Helensburgh Sailing Club,,pending,,
Thornton Steward Sailing Club,,pending,,
Filey Sailing Club,,pending,,
ELTON SAILING CLUB,,pending,,
Bartley Sailing Club,,pending,,
Yacht Club,,pending,,
Scailing Dam Sailing Club,,pending,,
Notts,,pending,,
Staunton Sailing Club,,pending,,
Notts County Sailing Club,,pending,,
South Shields Sailing Club,,pending,,
Grafham Water Sailing Club,,pending,,
MS,,pending,,
CC,,pending,,
Coniston Sailing Club,,pending,,
Loch Lomond Sailing Club,,pending,,
Strathclyde Loch Sailing Club,,pending,,
Royal Yorkshire Yacht Club,,pending,,
Annandale Sailing Club,,pending,,
West Oxfordshire Sailing Club,,pending,,
Otley Sailing Club,,pending,,
Severn Sailing Club,,pending,,
West Kirby Sailing Club,,pending,,
Chew Valley Lake Sailing Club,,pending,,
Safeguar,,pending,,
Brancaster Staithe Sailing Club,,pending,,
Draycote Water Sailing Club,,pending,,
Restronguet Sailing Club,,pending,,
The Nottingham Sailing Club,,pending,,
Burton Sailing Club,,pending,,
Etherow Country Park Sailing Club,,pending,,
FFSC,,pending,,
Bala Sailing Club,,pending,,
Shotwick Sailing Club,,pending,,
Glenridding Sailing Centre,,pending,,
Stokes Bay Sailing Club,,pending,,
St Edmundsbury Sailing,,pending,,
Canoeing Assoc.,,pending,,
Northampton Sailing Club,,pending,,
Glossop Sailing Club,,pending,,
Clywedog Sailing Club,,pending,,
Ripon Sailing Club,,pending,,
Calshot Sailing Club,,pending,,
Red Wharf Bay,,pending,,
Chew Valley Lake Sailing Club Felpham Sailing Club,,pending,,
Dracote Academy,,pending,,
Chanonry Sailing Club,,pending,,
HSSC,,pending,,
Filey,,pending,,
Draycote Sailing Clubs,,pending,,
Sunderland Yacht Club,,pending,,
Lyme Regis,,pending,,
Ecpsc,,pending,,
RCC,,pending,,
Staunton Harold Sailing Club,,pending,,
SSSC,,pending,,
Lowton Sailing,,pending,,
Snettisham Beach Sailing Club,,pending,,
Burghfield Sailing club,,pending,,
Stonehaven Yacht Club,,pending,,
Sailing Club,,pending,,
,,pending,,
,,pending,,
,,pending,,
,,pending,,
,,pending,,
,,pending,,
,,pending,,
,,pending,,
,,pending,,
,,pending,,
,,pending,,
None,,pending,,
